Address,Lat,Long,Description,Link
129-133 Leveson Street NORTH MELBOURNE VIC 3051,-37.800769,144.951243,Partial demolition and additions to rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213480
129-133 Leveson Street NORTH MELBOURNE VIC 3051,-37.800769,144.951243,Partial demolition and additions to rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213504
1-7 O'Connell Street NORTH MELBOURNE VIC 3051,-37.805733,144.958001,Alterations to the existing building to allow for artwork,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213407
243-251 Flemington Road NORTH MELBOURNE VIC 3051,-37.793292,144.9467834,Amendment to the existing permit and endorsed plans to; amend condition 7 to allow for 5 practitioners; increase the number of car spaces from 38 to 47; a reduction in the number of bicycle spaces from 26 to 14; deletion of the meeting and procedure room to facilitate  additional consulting rooms; an additional childcare room to accommodate an extra 22 children; a reduction in the outdoor area on the second floor and roof levels; an additional two-bedroom apartment to be located on the third floor; relocation of storage and service area from the basement to first floor level and other internal alterations,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=212724
217 Flemington Road NORTH MELBOURNE VIC 3051,-37.79452,144.947864,Part demolition and construction of alterations and single-storey addition to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=212713
64-90 Sutton Street NORTH MELBOURNE VIC 3051,-37.7919534,144.9382626,Constuction and display of business identification signage; buildings and works to provide additional shopfront entry,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=212598
5-7 Provost Street NORTH MELBOURNE VIC 3051,-37.802217,144.94757,Use of the building for motor repairs and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=212108
40 Alfred Street NORTH MELBOURNE VIC 3051,-37.790494,144.940289,External painting of all building facades,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211813
12 Mary Street NORTH MELBOURNE VIC 3051,-37.799163,144.952672,Construction of one dwelling on a vacant lot,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211844
45-47 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.8042937,144.9516652,Addition of a window to the second floor facing Little Leveson Street,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211763
77-81 Boundary Road NORTH MELBOURNE VIC 3051,-37.792443,144.939185,Construction of business identification and promotion signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211718
110-124 Laurens Street NORTH MELBOURNE VIC 3051,-37.802535,144.941952,Amend condition 3 to allow for approval of variations to the operating hours and/or numbers of persons for special events,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211645
498 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.79448,144.947299,Part demolition of and construction of alterations to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211506
115 Arden Street NORTH MELBOURNE VIC 3051,-37.8008816,144.9468043,"Partial demolition and construction of alterations and additions to existing dwelling, including roof deck",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211412
"Unit 3, 329 Flemington Road NORTH MELBOURNE VIC 3051",-37.791505,144.943888,To alter and enlarge lot 3 on SP25327Y from formally common property no.1 and to alter entitlement and liability figures in Owners Corporation schedule,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211164
3-5 Harker Street NORTH MELBOURNE VIC 3051,-37.7978912,144.9491723,Partial demolition to rear of existing dwelling and construction of alterations and additions to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210938
96-106 Langford Street NORTH MELBOURNE VIC 3051,-37.7959679,144.9367571,Buildings and works for the construction of an addition to the existing building for use of an office and variation of the car parking and loading requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210876
23 Haines Street NORTH MELBOURNE VIC 3051,-37.799031,144.949288,Demolition of existing rear boundary fence. Buildings and works associated with new rear boundary fence.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210826
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,444 subdivision of PS719578G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210092
91-93 Flemington Road NORTH MELBOURNE VIC 3051,-37.798554,144.952865,Demolition of the existing buildings and construction of a multi-storey mixed use development with basement car parking and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210367
95 Flemington Road NORTH MELBOURNE VIC 3051,-37.798525,144.952807,Demolition of the existing buildings and construction of a multi-storey mixed use development with basement car parking and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210367
193 Errol Street NORTH MELBOURNE VIC 3051,-37.8000372,144.9499094,"Partial demolition, construction of an extension to a deck, and external alterations, to the rear of the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210310
65-73 Mark Street NORTH MELBOURNE VIC 3051,-37.7934408,144.937066,Extension to existing mezzanine with associated reduction to car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210112
33-35 Arden Street NORTH MELBOURNE VIC 3051,-37.801304,144.950528,To develop the land for a multi-dwelling residential building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210116
117 Arden Street NORTH MELBOURNE VIC 3051,-37.8008734,144.9467462,Alterations to existing building including painting of front fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209809
39 O'Shanassy Street NORTH MELBOURNE VIC 3051,-37.800398,144.94928,Partial demolition and buildings and works including an extension to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209600
2-6 High Street NORTH MELBOURNE VIC 3051,-37.799823,144.953993,"Amend the permit preamble to delete reference to Student Accommodation use and include reference to reduction in carparking requirements (Clause 52.06), deletion of premit conditions 5(b), 5 (c) and 6 and amend the Section 173 agreements (title reference: AB901791L 25/02/2003)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209413
479-481 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.7983292,144.9442508,"Partial demolition, external alterations, and an addition to the rear of the existing dwelling.

Planning Permit letter returned.  Re addressed to Michael Leuner and sent 14/08/2014",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209417
11 O'Shanassy Street NORTH MELBOURNE VIC 3051,-37.8005995,144.9508312,Replacement of existing window,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209431
19-21 Leveson Street NORTH MELBOURNE VIC 3051,-37.804474,144.950594,"To amend the description of what the permit allows to 'Use of the land as a food and drink premises and for the sale and consumption of liquor (on-premises liquor licence) with ancillary training facility and office, the display of business identification signage, a reduction in the car parking, bicycle facility and loading bay requirements and carry out works to the existing building' and include 3 Raglan Street within the permit address;  Delete Condition 3 in relation to loading and unloading requirements and amend Condition 10 to increase patrons on site from 50 to 60;  An extension to the red line area where liquor can be sold and consumed and amendments to the endorsed plans",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209579
3 Raglan Street NORTH MELBOURNE VIC 3051,-37.804456,144.950441,"To amend the description of what the permit allows to 'Use of the land as a food and drink premises and for the sale and consumption of liquor (on-premises liquor licence) with ancillary training facility and office, the display of business identification signage, a reduction in the car parking, bicycle facility and loading bay requirements and carry out works to the existing building' and include 3 Raglan Street within the permit address;  Delete Condition 3 in relation to loading and unloading requirements and amend Condition 10 to increase patrons on site from 50 to 60;  An extension to the red line area where liquor can be sold and consumed and amendments to the endorsed plans",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209579
20 Peckville Street NORTH MELBOURNE VIC 3051,-37.79511,144.943222,Partial demolition of the existing dwelling and construction of a two storey extension,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209201
243-247 Errol Street NORTH MELBOURNE VIC 3051,-37.7983298,144.9503456,Buildings and works for the construction of a new pool and assoicated equipment and fences,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209101
9 Lonie Street NORTH MELBOURNE VIC 3051,-37.7898887,144.9404674,Proposed carport with remote control panel/auto door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208994
19 Capel Place NORTH MELBOURNE VIC 3051,-37.804255,144.954545,Alterations to existing garage door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208887
361-363 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803963,144.955738,"Reduction in the size and extent of works to the site including the removal of previosuly approved works to 161-167 Peel Street, North Melbourne",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208896
638-640 Queensberry Street NORTH MELBOURNE VIC 3051,-37.80243,144.946259,Construction of two dwellings on a lot,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208844
1 Shiel Street NORTH MELBOURNE VIC 3051,-37.7983156,144.9437291,Construction of a six storey building comprising 34 apartments and associated car and bicycle parking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208690
2-8 Lancashire Lane NORTH MELBOURNE VIC 3051,-37.802645,144.950318,Partial demolition of existing building and construction of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208138
8 Lancashire Lane NORTH MELBOURNE VIC 3051,-37.802645,144.950318,Partial demolition of existing building and construction of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208138
642-650 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8025745,144.9459512,Partial demolition and construction of alterations and additions to existing building associated with conversion of office building into six dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208139
9-13 Stawell Street NORTH MELBOURNE VIC 3051,-37.803642,144.942529,38 lot subdivision of PS704832D,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208140
37 Errol Street NORTH MELBOURNE VIC 3051,-37.804119,144.949078,Use of the premises to sell and consume liquor (caf̩/restaurant licence) and a reduction in the statutory car parking requirement for a restaurant,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208142
13-15 Cobden Street NORTH MELBOURNE VIC 3051,-37.80522,144.957107,Partial demolition to rear of existing dwelling and construction of alterations and additions to rear of dwelling including rooftop terrace,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208401
40-42 Leveson Street NORTH MELBOURNE VIC 3051,-37.803847,144.951297,"Alterations and additions to the existing warehouse for the creation of a dwelling on a lot less than 300sqm, in a Heritage Overlay and Design and Development Overlay",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208312
118 Haines Street NORTH MELBOURNE VIC 3051,-37.798587,144.943224,Construction of a deck and balustrades,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208324
"Unit 307, Level 3 150 Peel Street NORTH MELBOURNE VIC 3051",-37.804403,144.956642,Minor works including the installation of a louvre pergola roof over existing apartment terrace,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208364
65-69 Sutton Street NORTH MELBOURNE VIC 3051,-37.792528,144.938288,Works including the installation of new roller shutter door and single width crossover,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208366
27 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.804249,144.951515,Partial demolition; and alterations and additions to construct an extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208116
493-495 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.793278,144.9451186,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208119
550-552 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8029059,144.9489348,Buildings and works to re-instate a cast iron street verandah to existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207905
233-239 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.80086,144.943461,"Use of an existing warehouse for industry and associated offices, a reduction in car parking requirement, external painting, and new business identification signage.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207327
33 Chapman Street NORTH MELBOURNE VIC 3051,-37.797215,144.949024,Partial demolition and single storey addition and alterations to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207260
486 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.7947813,144.9472219,External painting to the facade of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207294
484 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.7948294,144.9471904,External painting to the facade of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207294
31-55 Curran Street NORTH MELBOURNE VIC 3051,-37.793271,144.942752,Partial demolition and installation of new windows to existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207199
79 Arden Street NORTH MELBOURNE VIC 3051,-37.801002,144.947897,Change to the preamble to include a medical centre and deletion of basement level,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207176
465 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.795428,144.946476,External painting and alteration of the facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207182
111-113 Boundary Road NORTH MELBOURNE VIC 3051,-37.791018,144.939323,Proposed construction of a mezzanine level,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207106
"Unit 1, Level 1 25 Bendigo Street NORTH MELBOURNE VIC 3051",-37.8022591,144.9501623,Installation of galvanised perforated screening for privay screens on both first and second floor balconies,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207109
116-118 Errol Street NORTH MELBOURNE VIC 3051,-37.8022241,144.9502167,Installation of galvanised perforated screening for privay screens on both first and second floor balconies,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207109
223 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.802004,144.945319,Buildings and works for the part demolition of the existing building and construction of a dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=206396
110 Melrose Street NORTH MELBOURNE VIC 3051,-37.791463,144.942705,"Partial demolition, alterations and additions to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207171
5-15 Shiel Street NORTH MELBOURNE VIC 3051,-37.7964089,144.9424057,Relocation of existing exhaust stacks,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=206282
604 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802546,144.94731,Partial demolition and construction of an extension to the existing dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=205836
30 Erskine Street NORTH MELBOURNE VIC 3051,-37.794419,144.944225,Alter two windows in west elevation to provide ventilation,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=205786
300-308 Victoria Street NORTH MELBOURNE VIC 3051,-37.805694,144.956361,"Change of use for the first floor to a restricted recreation facility, construction of alterations to the building including demolition and construction of business identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=205606
451 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.79449,144.944616,3 lot subdivision of PS725483J,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=205514
6 Kipling Street NORTH MELBOURNE VIC 3051,-37.795373,144.942602,Buildings and works for the partial demolition of the existing dwelling and construction of a two storey extension,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=205489
259 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8012153,144.9455943,Proposed rooftop solar panels and deck to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204519
38 Melrose Street NORTH MELBOURNE VIC 3051,-37.794133,144.942217,Partial demolition to rear of existing dwelling and construction of alterations and additions to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204534
3-5 Harker Street NORTH MELBOURNE VIC 3051,-37.7978912,144.9491723,Construct a new front verandah and fence to existing dwelling and external painting,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204416
48 Canning Street NORTH MELBOURNE VIC 3051,-37.79558,144.942197,Demolition of existing dwelling and construction of new two storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204347
4 Alfred Street NORTH MELBOURNE VIC 3051,-37.790661,144.941986,"Demolition of existing buildings, pool and fences; construction of a residential building for apartment dwellings with a basement and fencing; reduction of the car parking requirements; and alterations to vehicular crossover",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204216
339-345 Flemington Road NORTH MELBOURNE VIC 3051,-37.791266,144.94346,Part demolition of the dwelling and construction of a new window,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204219
"Unit 6, 339-345 Flemington Road NORTH MELBOURNE VIC 3051",-37.791266,144.94346,Part demolition of the dwelling and construction of a new window,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204219
91-93 Flemington Road NORTH MELBOURNE VIC 3051,-37.798554,144.952865,Display of temporary signage publicising the sale of apartments on the subject land,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204220
95 Flemington Road NORTH MELBOURNE VIC 3051,-37.798525,144.952807,Display of temporary signage publicising the sale of apartments on the subject land,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204220
87-89 Flemington Road NORTH MELBOURNE VIC 3051,-37.798665,144.952987,Display of temporary signage publicising the proposed display suite on the subject land,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=204223
485-489 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803501,144.951311,Buildings and works for the construction of a verandah,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203871
151 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.802193,144.952452,Buildings and works to remove existing slate roof and replace with new colourbond,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203762
153 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.802149,144.952463,Buildings and works to remove existing slate roof and replace with new colourbond,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203762
699-709 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8024457,144.943474,Demolition of the existing wall and construction of a new wall,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203757
69-71 Errol Street NORTH MELBOURNE VIC 3051,-37.803471,144.94923,Extend trading hours of existing licensed restaurant to 1am on Friday and Saturday nights,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203661
253 Errol Street NORTH MELBOURNE VIC 3051,-37.79818,144.950145,Demolition of the existing fence and construction of a new side fence and gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203662
74-78 Lothian Street NORTH MELBOURNE VIC 3051,-37.801357,144.945123,Construction of solar panels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=109426
74 Lothian Street NORTH MELBOURNE VIC 3051,-37.8013218,144.9447999,Construction of solar panels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=109426
67 Leveson Street NORTH MELBOURNE VIC 3051,-37.802833,144.95085,Alterations and additions to existing dwelling and construction of a second dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=118242
51 Chapman Street NORTH MELBOURNE VIC 3051,-37.796939,144.948641,Buildings and works for the construction of a fence including part demolition and external painting of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203416
89-95 Lothian Street NORTH MELBOURNE VIC 3051,-37.8022455,144.9446215,Building and works including demolition of existing building and construction of a multi-storey apartment building with a basement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203321
30 Chapman Street NORTH MELBOURNE VIC 3051,-37.79678,144.949733,Alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203322
104B Errol Street NORTH MELBOURNE VIC 3051,-37.802493,144.949959,External painting to the ground floor shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203251
11 Curran Street NORTH MELBOURNE VIC 3051,-37.792628,144.943883,Alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203093
13 Canning Street NORTH MELBOURNE VIC 3051,-37.796813,144.94578,Installation of privacy screen (retrospective),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202957
22 Lothian Street NORTH MELBOURNE VIC 3051,-37.803322,144.944676,Buildings and works for the construction of a fence including part demolition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202792
2 Victoria Court NORTH MELBOURNE VIC 3051,-37.8045428,144.9503473,Construction of awnings to the first floor windows and above the ground floor front door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202724
140 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.804167,144.945628,"Partial demolition of the rear of the existing building, outbuildings and fence; construction of a two storey extension to the existing dwelling  including garage and deck",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202509
49-57 Curzon Street NORTH MELBOURNE VIC 3051,-37.803314,144.94763,Demolition of timber pergola structure and construction of two new pergolas,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202411
10-16 Steel Street NORTH MELBOURNE VIC 3051,-37.795896,144.938318,"Amend Condition 1b, c and d of the existing planning permit",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202436
La Trobe Close 13-39 Courtney Street NORTH MELBOURNE VIC 3051,-37.802074,144.953519,Subdivision generally in accordance with PS721871V,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=202057
5 Raglan Street NORTH MELBOURNE VIC 3051,-37.804524,144.950277,Alterations to the building facade for the installation of a roller shutter to the external building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201988
243-251 Flemington Road NORTH MELBOURNE VIC 3051,-37.793292,144.9467834,"The use of the building for a childcare centre, medical centre and food and drink premises, reduction in the provision of car parking, the construction of a building and the construction or carrying out of works, waiving the requirement for loading and unloading facilities",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201816
141 Peel Street NORTH MELBOURNE VIC 3051,-37.804742,144.955849,"Partial demolition of the existing building, and construction of an extension to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201713
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8023404,144.9526485,Demolition of the existing building and construction of a five-storey residential apartment building and provision of car parking in excess of Clause 45.09 in accordance with the endorsed plans,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201670
21-23 Mary Street NORTH MELBOURNE VIC 3051,-37.799274,144.951958,To amend condition 4 to read:  'The roller door is permitted to be open after 9am during nominated permit hours',http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201579
28 Curran Street NORTH MELBOURNE VIC 3051,-37.792063,144.943674,Construction of an increased first floor storage area,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201597
